Mô hình,MAE,RMSE,R²
Baseline,24989.816326530614,53903.48572384496,0.9341195008696713
Linear Regression,23833.79328646602,48788.657837429695,0.9460289431535538
Random Forest,29998.374489795915,64808.75997415159,0.9047663117281767
