rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,chart_week,is_new_entry,rank_change,genre
94,spotify:track:4CVxKSRLUxqUuj2z9vn4fS,SOOBIN,Xin Đừng Lặng Im,"HONG AN ENTERTAIMENT,.JSC",37,97,48,243082,2026-04-23,FALSE,3,Ballad
95,spotify:track:6E3P4uOfKHYXJLK6Q3s0Tj,"JustaTee, Binz",Cơn Mưa Cuối,NGUYEN THANH TUAN,86,125,25,242791,2026-04-23,FALSE,30,Rap/Hip-hop
96,spotify:track:4vVTI94F9uJ8lHNDWKv0i2,"Sean Kingston, Justin Bieber",Eenie Meenie,Epic/Beluga Heights,96,-1,1,240545,2026-04-23,TRUE,NaN,EDM/Dance
97,spotify:track:43zzuEWDotRcKlSFzrlJqs,Đạt G,Thêm Bao Nhiêu Lâu,12 trái lê,97,113,50,240303,2026-04-23,FALSE,16,Ballad
98,spotify:track:1o6cYDMHvKOfizi4d9Lqxr,W/N,id 072019,Universal Music Indochina Distributed Labels,3,85,143,238654,2026-04-23,FALSE,-13,Pop
99,spotify:track:31VNCmwspR7nVJ6kruUuJt,Sơn Tùng M-TP,Đừng Làm Trái Tim Anh Đau,Umusic Vietnam Co. Ltd. Distributed Labels,1,100,98,236928,2026-04-23,FALSE,1,Pop
100,spotify:track:0JKEP4dB1riE6l7Kq5kJm1,Chillies,Em Đừng Khóc,WM Vietnam,3,99,63,236332,2026-04-23,FALSE,-1,Indie/Alternative
101,spotify:track:0SmQ0UWeiHKQtxUej4Rem6,SOOBIN,Tháng Năm,Spacespeakers,6,109,179,236261,2026-04-23,FALSE,8,Pop
102,spotify:track:2rKkfc4VZ74FQDc1FF1Zo6,BTS,Body to Body,BIGHIT MUSIC,5,73,5,235218,2026-04-23,FALSE,-29,Pop
103,spotify:track:1UQNU5O9VttUgO16pxUnjw,"Obito, Shiki, RPT MCK",Đánh Đổi,12 trái lê,7,92,133,234933,2026-04-23,FALSE,-11,Rap/Hip-hop
104,spotify:track:226ljdOTLM2clGpm4mZvAm,Dangrangto,Love is,MaiDao Music,10,108,78,230232,2026-04-23,FALSE,4,Indie/Alternative
105,spotify:track:1i5SZL7Ngz0sYFaKmwieyw,"Quang Hùng MasterD, Low G, Hino",Chất Gây Hại,M Music Records,16,84,18,229807,2026-04-23,FALSE,-21,Rap/Hip-hop
106,spotify:track:5PGh9MyKry8slG5AfvD1eD,"Obito, Shiki, VSTRA",Hà Nội,12 trái lê,10,102,133,229510,2026-04-23,FALSE,-4,Rap/Hip-hop
107,spotify:track:5Bti0azlFhMattVY76qFr9,Vũ.,Lạ Lùng,WM Vietnam,17,106,420,228492,2026-04-23,FALSE,-1,Indie/Alternative
108,spotify:track:1LJyhnPdYGRLerwJd8CmL1,"Vũ., Dear Jane",Những Lời Hứa Bỏ Quên,WM Vietnam,1,114,123,228369,2026-04-23,FALSE,6,Indie/Alternative
109,spotify:track:4qJSUFwZFouto5VZUlln75,"tlinh, Trung Trần",Thích Quá Rùi Nà,Universal Music Indochina Distributed Labels,34,89,292,227546,2026-04-23,FALSE,-20,R&B/Soul
110,spotify:track:1J12HjUuXfJnaUdubTEzSR,HIEUTHUHAI,Nghe Như Tình Yêu,M Music Records,35,103,240,227364,2026-04-23,FALSE,-7,R&B/Soul
111,spotify:track:5u5AsK8JLgkr154QHZjJqh,"ANH TRAI ""SAY HI"", VCT, Karik, Negav, Ngô Kiến Huy, Jey B",NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,Universal Music Indochina Distributed Labels,3,96,30,227235,2026-04-23,FALSE,-15,Rap/Hip-hop
112,spotify:track:27F22WcGDyl4Z2KylVJkXL,buitruonglinh,Đường Tôi Chở Em Về,Universal Music Indochina Distributed Labels,14,87,182,226692,2026-04-23,FALSE,-25,Indie/Alternative
113,spotify:track:3JKn7BN79L1WOPMYUCZg1m,"RPT MCK, marzuz",NGONGIODEMQUATRANGSANGDEMNAY,abandonh3ll records,60,60,3,226417,2026-04-23,FALSE,-53,Rap/Hip-hop
114,spotify:track:317Lh6QCAz9JpWbV3oxrCf,"Phùng Khánh Linh, Thành Luke",EM ĐAU,BLACK SWAN LABEL LLC.,62,91,15,225832,2026-04-23,FALSE,-23,Ballad
115,spotify:track:5prZw3OHd2UhAq0VBKpqUM,GREY D,mới hôm qua,Umusic Vietnam Co. Ltd. Distributed Labels,34,66,4,225645,2026-04-23,FALSE,-49,R&B/Soul
116,spotify:track:3b34161QoxLwsqhWSPy9i5,Da LAB,Thanh Xuân,Sony Music Entertainment,1,158,397,223821,2026-04-23,FALSE,42,Indie/Alternative
117,spotify:track:51bYFYWODfYOZU0rwvjiCc,"Binz, Đen",Cho Mình Em,Spacespeakers,32,130,126,223486,2026-04-23,FALSE,13,Rap/Hip-hop
118,spotify:track:7J9l9ebYB3IEs5ea5J1M7a,"Da LAB, Tóc Tiên",Nước Mắt Em Lau Bằng Tình Yêu Mới,MUNIZ MUSIC COMPANY LIMITED,107,145,113,222756,2026-04-23,FALSE,27,Pop
119,spotify:track:66v7AvDs5gZfmkJgFMMtHL,"Công Dương, Nguyễn Lâm Thảo Tâm, 30 Pictures",A Little Dream Of Me,+84 Vietnam New Wave,22,111,7,220780,2026-04-23,FALSE,-8,Khác
120,spotify:track:7q1qYSyRkGT4ZaCc2ZQihP,"Hoàng Tôn, Koo",Em Còn Nhớ Anh Không - Remastered,Hoàng Tôn,69,107,54,219831,2026-04-23,FALSE,-13,Ballad
121,spotify:track:5tmA5oQDF0ULqRI12LKCDw,JayKii,Chiều Hôm Ấy,The First Management,95,122,26,219804,2026-04-23,FALSE,1,Ballad
122,spotify:track:2GE2p2dFpxp7OIz2QOFBzW,"ANH TRAI ""SAY HI"", HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều, Isaac","KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)",Anh Trai Say Hi,5,143,78,218845,2026-04-23,FALSE,21,Rap/Hip-hop
123,spotify:track:5U30iZBlmxkpHqzb1OSnBS,Rhymastic,Yêu 5,WM Vietnam,77,132,220,218157,2026-04-23,FALSE,9,R&B/Soul
124,spotify:track:53zusvCJkyGYjEZ6bnLIjh,Hà Anh Tuấn,Tháng Tư Là Lời Nói Dối Của Em,Yin Yang Media,49,112,58,217343,2026-04-23,FALSE,-12,Ballad
125,spotify:track:6D94p9ASguBcYlDC0o56vx,HIEUTHUHAI,NOLOVENOLIFE,M Music Records,24,105,132,216792,2026-04-23,FALSE,-20,Rap/Hip-hop
126,spotify:track:4Iz5EWPCAT8jYNk4IpLoll,buitruonglinh,Dù Cho Mai Về Sau,Yin Yang Media,10,126,265,216480,2026-04-23,FALSE,0,Indie/Alternative
127,spotify:track:2FnXZhpEKgIab8vI6t2C7e,"Shiki, Tyronee",Perfect,12 trái lê,74,128,54,216059,2026-04-23,FALSE,1,Rap/Hip-hop
128,spotify:track:4TyQKEifYDWTfTSRwpxlYI,Quân A.P,Bông Hoa Đẹp Nhất,Great Entertainment,32,119,121,214776,2026-04-23,FALSE,-9,Ballad
129,spotify:track:08ULi904W2Po6pVj8nN7KC,"GREY D, Chillies",đưa em về nhàa,Umusic Vietnam Co. Ltd. Distributed Labels,3,98,156,211953,2026-04-23,FALSE,-31,R&B/Soul
130,spotify:track:2o4dDfLK6NVI7TjBm5VoMv,"Lou Hoàng, Miu Lê",Yêu Một Người Có Lẽ,Onlyc Entertainment,33,153,218,211516,2026-04-23,FALSE,23,Pop
131,spotify:track:4D1eaEIisnWCVPMnYuMh7q,白浩贤BlueC,漫步香港1999,腾讯音乐人,13,101,10,210034,2026-04-23,FALSE,-30,Indie/Alternative
132,spotify:track:3gLRyMbg5nWLcuKD46Uz72,Phương Ly,Anh Là Ai,PHUONG LY,109,154,30,209605,2026-04-23,FALSE,22,Pop
133,spotify:track:25NLn8W1JxuVrXQTVrDA4c,"Dfoxie37, myhoa, Tuann",hello em có khỏe không,Universal Music Indochina Distributed Labels,15,110,21,209522,2026-04-23,FALSE,-23,Pop
134,spotify:track:7HoAJ6Hc1P91eoOrn1WY5d,"Đức Trường, BMZ, Kun",Đáng Lý Ra Phải Là Anh,BMZ,90,138,19,208842,2026-04-23,FALSE,4,Ballad
135,spotify:track:6OWWZtNQORY1McaZmOrwhc,CORTIS,GO!,Republic Records – CORTIS,107,-1,22,208744,2026-04-23,TRUE,NaN,Pop
136,spotify:track:4fj4Jn4nw8fGX8xdbCntJf,"CoolKid, RHYDER",Sau Cơn Mưa,MaiDao Music,8,127,138,208692,2026-04-23,FALSE,-9,Rap/Hip-hop
137,spotify:track:5C3fx9rdM4Bxf1MSOQC4Ym,"Low G, Thắng",An Thần,M Music Records,2,134,235,208480,2026-04-23,FALSE,-3,Rap/Hip-hop
138,spotify:track:4ecdsGz3Hg6TKPwQ0ZOdJz,CORTIS,FaSHioN,Republic Records – CORTIS,121,-1,20,204463,2026-04-23,TRUE,NaN,Pop
139,spotify:track:5cF0dROlMOK5uNZtivgu50,Charlie Puth,Attention,Artist Partner,21,184,198,204060,2026-04-23,FALSE,45,R&B/Soul
140,spotify:track:1J3SmWwlYAG68LGKr86MVH,Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,Umusic Vietnam Co. Ltd. Distributed Labels,1,131,279,203585,2026-04-23,FALSE,-9,Pop
141,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,38,136,12,203487,2026-04-23,FALSE,-5,Pop
142,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,11,144,148,203474,2026-04-23,FALSE,2,R&B/Soul
143,spotify:track:6KIhgRkprgyJNERRMu7Quh,MIN,Có Em Chờ,MIN,117,151,51,202232,2026-04-23,FALSE,8,Pop
144,spotify:track:29Tj2R8sZZ3fzlXZVe1OyY,"Dương Domic, Lou Hoàng",Pin Dự Phòng,DAO Entertainment,13,155,42,202231,2026-04-23,FALSE,11,R&B/Soul
145,spotify:track:6gkbtMtioHgtyGjrMel6ei,Olivia Rodrigo,drop dead,Olivia Rodrigo PS,145,-1,1,201800,2026-04-23,TRUE,NaN,Pop
146,spotify:track:6TGwaBlfUGVoeZMBLzvXGP,"Dangrangto, DONAL",thế giới của anh,Higher Dimension,50,129,12,201544,2026-04-23,FALSE,-17,Indie/Alternative
147,spotify:track:0jHpGB1Xt2kIX0VaPFvStp,"Tùng TeA, PC, TaynguyenSound",Già Cùng Nhau Là Được,12 trái lê,70,146,142,200788,2026-04-23,FALSE,-1,Rap/Hip-hop
148,spotify:track:3COYA2vgfcUhDyRlVpZy5p,"tlinh, Low G",PHÓNG ZÌN ZÌN,M Music Records,4,121,83,198852,2026-04-23,FALSE,-27,Rap/Hip-hop
149,spotify:track:0oL2jCTf9P9a7flY5mCpYu,"Wxrdie, JustaTee",Trở Về,Universal Music Indochina Distributed Labels,54,118,60,198429,2026-04-23,FALSE,-31,Rap/Hip-hop
150,spotify:track:7fCeYpR02Q8JVuD88hJZVT,"Da LAB, Minh Tốc & Lam",Bầu Trời Mới,Universal Music Indochina Distributed Labels,8,117,81,198149,2026-04-23,FALSE,-33,Indie/Alternative
151,spotify:track:0669gFIK8dYK9GGQ0K0QNF,Dương Domic,Tràn Bộ Nhớ,DAO Entertainment,7,156,74,197773,2026-04-23,FALSE,5,R&B/Soul
152,spotify:track:6GPcbZOX4h9MWert6xWpYw,Phùng Khánh Linh,ANH LÀ THẰNG TỒI,BLACK SWAN LABEL LLC.,37,137,21,197357,2026-04-23,FALSE,-15,Indie/Alternative
153,spotify:track:7yxogpPUBn4wVEKBgI5c7U,Lil Zpoet,Yêu Từ Đâu Mà Ra,MaiDao Music,143,161,28,196964,2026-04-23,FALSE,8,Pop
154,spotify:track:65st6HfPZyxq1RNTvqSIos,"Wren Evans, itsnk",Thu Đợi,Universal Music Indochina Distributed Labels,6,124,17,196335,2026-04-23,FALSE,-30,R&B/Soul
155,spotify:track:1GJ3suxtUVaguVQRemw6Zp,Andiez,Suýt Nữa Thì...,MaiDao Music,74,149,163,196260,2026-04-23,FALSE,-6,Ballad
156,spotify:track:2uxjHthUJd2A8PmWaUGGsI,"Hoàng Dũng, Hoàng Rob",Chờ Anh Nhé,Lirico Entertainment,99,123,45,194409,2026-04-23,FALSE,-33,Indie/Alternative
157,spotify:track:3y66li7DIrH7HLKIZzxR5H,Kai Đinh,Lễ Đường,Yin Yang Media,3,147,58,193276,2026-04-23,FALSE,-10,Ballad
158,spotify:track:3w2fCdA3FeCyAwptmwtfwa,F47 Cover,Cỏ Dại Và Hoa Dành Dành,Chạm Music Box,128,-1,4,192448,2026-04-23,TRUE,NaN,Ballad
159,spotify:track:12DNdwLD9oZOPADqM10oyE,"Fishy, Trí Dũng",Forget Me Now,LOOPS Music,131,159,38,191863,2026-04-23,FALSE,0,R&B/Soul
160,spotify:track:1Ipu7wzbc2qM7muqszyiZD,"Solmee, Dyteller, hoangkiet",Tâm sự,Umusic Vietnam Co. Ltd. Distributed Labels,143,199,4,191174,2026-04-23,FALSE,39,R&B/Soul
161,spotify:track:170CNv2CAZn8wg6GxvHXYC,"B Ray, AMEE",Ex's Hate Me,B Ray,129,160,25,190957,2026-04-23,FALSE,-1,Rap/Hip-hop
162,spotify:track:3bmpXHVie1GTy37OkXJ7Vc,BTS,2.0,BIGHIT MUSIC,11,116,5,190311,2026-04-23,FALSE,-46,Rap/Hip-hop
163,spotify:track:2G5ujw3rrWcAXQqT8PVnrz,"Obito, Shiki, Lăng LD",Đầu Đường Xó Chợ,12 trái lê,39,142,79,189842,2026-04-23,FALSE,-21,Rap/Hip-hop
164,spotify:track:6uxuJ8Fr1AAfSPJUF9N1yr,Vũ.,Bước Qua Mùa Cô Đơn,WM Vietnam,1,141,268,189588,2026-04-23,FALSE,-23,Indie/Alternative
165,spotify:track:20dAJsyno9ZoBLJtqgQnUI,BTS,Hooligan,BIGHIT MUSIC,8,120,5,187562,2026-04-23,FALSE,-45,Pop
166,spotify:track:6czM6UMQD9qE5GAUp68oud,"Justin Bieber, Chance the Rapper",Confident,RBMG/Def Jam,166,-1,1,187409,2026-04-23,TRUE,NaN,Pop
167,spotify:track:78qgfGQXLCxLcJRShFeAyk,"Inso, Thazh, Đông",Mở Lòng Vì Ai - Thazh x Đông Remix,Air Media,125,167,6,186337,2026-04-23,FALSE,0,Indie/Alternative
168,spotify:track:3H6nzsPNMttEvUl3ai3xN8,Chillies,Vùng Ký Ức,WM Vietnam,1,148,125,186209,2026-04-23,FALSE,-20,Indie/Alternative
169,spotify:track:4FT18tLTmf3QNBzG5r6OTj,"Đen, Ngọc Linh",Mười Năm (Lộn Xộn 3),Đen,17,166,129,186054,2026-04-23,FALSE,-3,Rap/Hip-hop
170,spotify:track:4N99EuIjwSSFFFMDfTeOLU,"buitruonglinh, Vũ Phụng Tiên",Em Không Khóc (feat. Vũ Phụng Tiên),Yin Yang Media,62,197,181,184807,2026-04-23,FALSE,27,Indie/Alternative
171,spotify:track:55Eo6NDkVhSRBonrT16kXM,"Cloud 5, Dangrangto",Đến Đây Bên Anh,Yin Yang Media,66,171,55,184080,2026-04-23,FALSE,0,Indie/Alternative
172,spotify:track:4vfhartd7HDWGJbdVIycEu,Sơn Tùng M-TP,Muộn Rồi Mà Sao Còn,Umusic Vietnam Co. Ltd. Distributed Labels,1,140,261,181258,2026-04-23,FALSE,-32,Pop
173,spotify:track:5NULs64MNtA1HnRK9Bedys,"Ánh Sáng AZA, Negav",tâm trí lang thang,DAO Entertainment,11,-1,44,179968,2026-04-23,TRUE,NaN,Rap/Hip-hop
174,spotify:track:54UNNgtE3zzERwTuWSQLqd,"MONSTAR, GREY D, VƯƠNG BÌNH",có hẹn với thanh xuân,Yin Yang Media,5,177,171,178088,2026-04-23,FALSE,3,R&B/Soul
175,spotify:track:33S16Xa5cZmLPhn6eZI4Nm,"52Hz, RIO, WEAN",ĐỢI (feat. WEAN) - SPECIAL VERSION,DAO Entertainment,58,169,91,177722,2026-04-23,FALSE,-6,R&B/Soul
176,spotify:track:1zvL2X6HPrLfvtSY4DpopE,MIN,Em Mới Là Người Yêu Anh,MIN,1,-1,154,177033,2026-04-23,TRUE,NaN,Pop
177,spotify:track:7Cjsw965r7mVK888ZqP6Wo,Negav,Mình Anh Thôi,MIXUS,18,162,57,177000,2026-04-23,FALSE,-15,Rap/Hip-hop
178,spotify:track:5xuaCJaNAqRLwV7OO5zPiF,"W/N, Duongg, Nâu",3 1 0 7 (feat. Duongg & Nâu),"HONG AN ENTERTAIMENT,.JSC",11,-1,289,176308,2026-04-23,TRUE,NaN,R&B/Soul
179,spotify:track:7AD5F85waSb3yZxZxEXhJM,"Tóc Tiên, Touliver",Có Ai Thương Em Như Anh,Yin Yang Media,20,196,144,174121,2026-04-23,FALSE,17,EDM/Dance
180,spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope Records,4,183,86,173837,2026-04-23,FALSE,3,Ballad
181,spotify:track:5yvVYFDUpbnjcnRBgjwTzM,"Tame Impala, JENNIE",Dracula - JENNIE Remix,Columbia,173,173,3,172458,2026-04-23,FALSE,-8,EDM/Dance
182,spotify:track:7jLSThU5Kg1RWt19Leiaxm,"RPT MCK, Trung Trần",Chìm Sâu,abandonh3ll records,1,185,217,172421,2026-04-23,FALSE,3,R&B/Soul
183,spotify:track:55K3e7BGewGDUJ4ZQwkh7M,Only C,Người Đáng Thương Là Anh,OnlyC Production,165,168,14,170801,2026-04-23,FALSE,-15,Ballad
184,spotify:track:0b61A7v9agI08BG21jJPQ9,BTS,they don’t know ’bout us,BIGHIT MUSIC,16,152,5,169648,2026-04-23,FALSE,-32,Pop
185,spotify:track:50cmxP6KlnQA9IG3q5ckKD,Chillies,Mascara,WM Vietnam,3,164,224,169588,2026-04-23,FALSE,-21,Indie/Alternative
186,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"DJ Snake, Justin Bieber",Let Me Love You,DJ Snake Def Jam,176,-1,14,169568,2026-04-23,TRUE,NaN,EDM/Dance
187,spotify:track:2ppLwHSMgDGEQ5c8o6nAX2,Low G,Simp Gái 808,M Music Records,9,163,132,169330,2026-04-23,FALSE,-24,Rap/Hip-hop
188,spotify:track:5VGOYjxkEaf19LoRPIolD2,"The Wind, Dangrangto",Anh Muốn Nhìn Thấy Em,M Music Records,77,133,71,169133,2026-04-23,FALSE,-55,Indie/Alternative
189,spotify:track:2SykQzXuFSeprST1uDjj1m,AMEE,trời giấu trời mang đi,Yin Yang Media,52,187,84,168761,2026-04-23,FALSE,-2,R&B/Soul
190,spotify:track:498g7npirihKT5MPdVSfb0,Hoàng Dũng,Phonecert,"CAM, LIRICO",137,181,18,168677,2026-04-23,FALSE,-9,R&B/Soul
191,spotify:track:5l1Opd9JCaSfH6jyxDM3pN,RPT MCK,Dạo Bước HongKong 1999,IC Music,191,-1,1,168570,2026-04-23,TRUE,NaN,Indie/Alternative
192,spotify:track:1UhQ0VwKq2PGnLiAZOJYV1,Binz,Em,SS LABEL,4,198,26,166764,2026-04-23,FALSE,6,R&B/Soul
193,spotify:track:1uiqiUzPn2EJpvHDy84PEZ,"EM XINH ""SAY HI"", Orange, Mỹ Mỹ, 52Hz, Châu Bùi, Pháp Kiều",KHÔNG ĐAU NỮA RỒI,Em Xinh Say Hi,2,176,44,166003,2026-04-23,FALSE,-17,Rap/Hip-hop
194,spotify:track:2gyJ83K0VJk7Ug1J4Qoaki,GREY D,tựa đầu,Umusic Vietnam Co. Ltd. Distributed Labels,71,135,4,164765,2026-04-23,FALSE,-59,R&B/Soul
195,spotify:track:0pavLg3wbL6PVXAgXoWv4S,"24k.Right, Ngắn, Hipz",Một Nửa Sự Thật,Universal Music Indochina,119,-1,3,163825,2026-04-23,TRUE,NaN,R&B/Soul
196,spotify:track:1fFvYVg1v3rpUSqKNCUh7b,VCT,Người Bình Thường,Universal Music Indochina Distributed Labels,49,157,56,163536,2026-04-23,FALSE,-39,Ballad
197,spotify:track:1Up8B0iFpeg5IN2C7gFFNa,"Lil Zpoet, Đức Anh",Từ Em Mà Ra,MaiDao Music,162,-1,6,163429,2026-04-23,TRUE,NaN,Ballad
198,spotify:track:6hytdEPX4UcGh91gDBUZDv,"Dab, Helinn",Anh Cũng Đâu Có Muốn Tin?,MaiDao Music,147,-1,26,163425,2026-04-23,TRUE,NaN,Pop
199,spotify:track:2rjjvcCCHF1CdnwptaXyF8,"F47 Cover, meChill, Đặng Thanh Tuyền",50 Năm Về Sau,meChill,89,170,12,162797,2026-04-23,FALSE,-29,Indie/Alternative
200,spotify:track:0KmrKOdScRDVYwWS8hkkdv,BTS,FYA,BIGHIT MUSIC,9,165,5,162437,2026-04-23,FALSE,-35,Pop
1,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,1,146,2442455,2026-04-30,FALSE,0,Pop
2,spotify:track:68lbSrXDORS51pmyjZv712,BTS,SWIM,BIGHIT MUSIC,1,2,6,2029617,2026-04-30,FALSE,0,Pop
3,spotify:track:5xVCfx47vCXuLdpfbepqEo,HIEUTHUHAI,Người Im Lặng Gặp Người Hay Nói,M Music Records,2,3,8,1023608,2026-04-30,FALSE,0,Rap/Hip-hop
4,spotify:track:1ApIGNgp1azc0qB61x4GzG,"Hngle, Ari",Không Buông,Umusic Vietnam Co. Ltd. Distributed Labels,2,4,34,924343,2026-04-30,FALSE,0,Pop
5,spotify:track:7uUuftbcr94tzGOCJSM25u,"Low G, JustaTee",In Love,M Music Records,2,5,27,733920,2026-04-30,FALSE,0,Rap/Hip-hop
6,spotify:track:4nXrVH5xwN1w6TpmP7uu8n,"HIEUTHUHAI, marzuz",Exit Sign,M Music Records,4,7,133,694899,2026-04-30,FALSE,1,Rap/Hip-hop
7,spotify:track:6Qwl74olNi1rl65FNxG5We,"marzuz, Changg",Và Thế Giới Đã Mất Đi Một Người Cô Đơn,Universal Music Indochina,7,8,23,684260,2026-04-30,FALSE,1,Ballad
8,spotify:track:2fCwv2ppU5nTRTckomIGsd,CORTIS,REDRED,Republic Records – CORTIS,8,35,2,683537,2026-04-30,FALSE,27,Pop
9,spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7,"Justin Bieber, Nicki Minaj",Beauty And A Beat,RBMG/Def Jam,9,9,3,677776,2026-04-30,FALSE,0,EDM/Dance
10,spotify:track:73RcFjiDtStfP3GCW44vJu,"Minh Huy, Pinny",Ngày Rời Chuyến Bay,12 trái lê,10,12,4,637229,2026-04-30,FALSE,2,Ballad
11,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,15,129,583154,2026-04-30,FALSE,4,Pop
12,spotify:track:5KYv3kORBKUmVEoqbRRWxt,"Bảo Anh, Táo",Từng Là Của Nhau,Yin Yang Media,7,10,34,569912,2026-04-30,FALSE,-2,Ballad
13,spotify:track:0NyrI1tMvqcK3vU5z9DMdI,JustaTee,She Neva Knows,NGUYEN THANH TUAN,13,14,13,550133,2026-04-30,FALSE,1,R&B/Soul
14,spotify:track:6GM4ZOBDcDroldUxI8GZ2B,"VSTRA, Tyronee",Ai Ngoài Anh,CDSL,2,13,17,533154,2026-04-30,FALSE,-1,R&B/Soul
15,spotify:track:42AOwjuMmIN1ioyyWB60Lw,GREY D,hoá ra…,Umusic Vietnam Co. Ltd. Distributed Labels,5,6,5,529893,2026-04-30,FALSE,-9,R&B/Soul
16,spotify:track:0hB27T4dy9qBUcZabsrLOj,HIEUTHUHAI,Dạo Gần Đây Anh Thấy Anh Không Bằng Ai Hết,M Music Records,16,-1,1,520034,2026-04-30,TRUE,NaN,Rap/Hip-hop
17,spotify:track:41DlPJXKTCypXdf2eSqa03,"Vũ., Binz",bình yên,WM Vietnam,4,16,87,511575,2026-04-30,FALSE,-1,Rap/Hip-hop
18,spotify:track:7bFFUPBiF15n8m8RziqS4o,GREY D,dự báo thời tiết hôm nay mưa,Umusic Vietnam Co. Ltd. Distributed Labels,7,18,180,505047,2026-04-30,FALSE,0,R&B/Soul
19,spotify:track:2a5hng9yXtbjtTVVm9UviC,VCT,Mơ,Universal Music Indochina Distributed Labels,6,17,192,501462,2026-04-30,FALSE,-2,Pop
20,spotify:track:1K0HQ30Wc11okzlcnFA7Ub,HIEUTHUHAI,Không Thể Say,M Music Records,7,25,158,492343,2026-04-30,FALSE,5,Rap/Hip-hop
21,spotify:track:3T7XHOdRcyhKU3QCB6kZG3,"MIN, Dangrangto, antransax",chẳng phải tình đầu sao đau đến thế,WM Vietnam,2,20,27,490485,2026-04-30,FALSE,-1,Indie/Alternative
22,spotify:track:11T61UpoNbbcewOMl1kcWN,NHONHO,Dạo Bước HongKong 1999,NHONHO,5,11,5,473833,2026-04-30,FALSE,-11,Indie/Alternative
23,spotify:track:6kCU6i8iRrAAmJJ8Sj4JYC,"Shartnuss, Phankeo, Tr.D",Nắng có mang em về,MaiDao Music,4,23,116,471409,2026-04-30,FALSE,0,Indie/Alternative
24,spotify:track:2wZAvkgiOE5tyrnqhB69KA,Sơn Tùng M-TP,Âm Thầm Bên Em,Umusic Vietnam Co. Ltd. Distributed Labels,9,21,288,466727,2026-04-30,FALSE,-3,Ballad
25,spotify:track:3uT8QfoX0BE8ZJa4h98LDW,"Puppy, Dangrangto",Wrong Times,MaiDao Music,3,28,130,463050,2026-04-30,FALSE,3,Indie/Alternative
26,spotify:track:5cn5oHiXJTLiuthgbgfkMh,VCT,Vết Mưa,Universal Music Indochina Distributed Labels,19,26,112,443253,2026-04-30,FALSE,0,Ballad
27,spotify:track:4BdB08vuS9r4HOoY7GkAxT,SOOBIN,Nếu Ngày Ấy,SS LABEL,18,30,71,442010,2026-04-30,FALSE,3,Ballad
28,spotify:track:6lRlM6bClcoOBLQi0zfA34,"HIEUTHUHAI, Hoàng Tôn",Chờ Tới Khi Anh Về,M Music Records,28,-1,1,431002,2026-04-30,TRUE,NaN,R&B/Soul
29,spotify:track:6GUKRhIsWxA7VuZW8MKQLG,Dương Domic,Không Thời Gian,DAO Entertainment,2,24,32,424202,2026-04-30,FALSE,-5,R&B/Soul
30,spotify:track:5tdz7T4hTxA1ipJMBe24uX,AMEE,"ex's hate me, Pt.2",Yin Yang Media,13,36,184,416313,2026-04-30,FALSE,6,Pop
31,spotify:track:0GXZXSDFSbJjqdGifjSaig,buitruonglinh,Sớm Như Vậy,Umusic Vietnam Co. Ltd. Distributed Labels,19,19,3,415674,2026-04-30,FALSE,-12,Indie/Alternative
32,spotify:track:0t8g66pWghsU8MphjUQIdg,"Phùng Khánh Linh, 30 Pictures",Cảm Ơn Người Đã Thức Cùng Tôi,+84 Vietnam New Wave,5,29,10,411147,2026-04-30,FALSE,-3,Ballad
33,spotify:track:3DLtPObflLQBodZN8qGODT,"JustaTee, BigDaddy",2AM,WM Vietnam,18,22,209,407414,2026-04-30,FALSE,-11,R&B/Soul
34,spotify:track:7jGda8nUxsBtYwaL57Jefh,"Juky San, buitruonglinh",Người Đầu Tiên,DAO Entertainment,2,31,26,404769,2026-04-30,FALSE,-3,Ballad
35,spotify:track:3Ids3RXurYBgySph53qWnB,buitruonglinh,Từng Ngày Yêu Em,LOOPS Music,9,37,69,404492,2026-04-30,FALSE,2,Indie/Alternative
36,spotify:track:4QNH4OjJ9W10afDYAHi03I,HIEUTHUHAI,Anh Nên Đi Khỏi Đây,M Music Records,36,-1,1,403897,2026-04-30,TRUE,NaN,Rap/Hip-hop
